year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,int_volume,total_sales
2015,conv,car,29.215,6.8,478,24.26,5,13.2769991755977,0,437,0,0,117,170529.254257093
2015,conv,suv,33.825,7.2,511,21.33,5,15.1007969995312,0,437,0,0,173,143994.577866234
2015,conv,truck,31.56,7.7,612,18.87,5,17.06942236354,0,437,0,0,127,34078.4362052844
2015,conv,van,22.95,10.3,480,26.55,5,12.1318267419962,0,437,0,0,286,4778.31200447656
2015,ev,car,75,5,255,122.764,547,5,70,196.65,7500,0,120,16729
2015,hybrid,car,32.825,8.9,805,36.67,5,8.78374693209708,0.5,437,0,1.5,111,13100.3701911878
2015,hybrid,suv,46.395,7.7,953,36.66,5,8.7861429350791,1.4,437,0,1.5,181,4045.5265495212
2015,hybrid,truck,30.83,10.5,667,42.18,5,7.63632053105737,1.3,437,0,1.5,131,427.173050760361
2015,phev,car,35.155,7.7,624,40.31,311,4.9,17.1,275.31,7500,7.5,108,8499.08887621876
2015,phev,suv,77.395,6.5,1114,31.71,196,7.3,10.8,275.31,4918.6,7.5,104,0.911123781241385
2016,conv,car,28.555,7.1,538,24.66,5,11.2814274128143,0,437,0,0,116,167947.938711165
2016,conv,suv,33.825,7.2,511,21.33,5,13.0426629160806,0,437,0,0,173,142417.377978455
2016,conv,truck,32.82,7.2,555,17.12,5,16.25,0,437,0,0,142,33127.7873524814
2016,conv,van,22.95,10.3,480,26.55,5,10.4783427495292,0,437,0,0,286,4382.85726195939
2016,ev,car,68.77,5,255,122.764,547,4.8,70,196.65,7500,0,120,13442.3131879801
2016,ev,suv,95.5,4.9,272,101.849,703,5.8,90,196.65,7500,0,199,2216.68681201994
2016,hybrid,car,32.825,8.9,805,36.67,5,7.58658303790565,0.5,437,0,1.5,111,11573.7484787437
2016,hybrid,suv,46.395,7.7,953,36.67,5,7.58658303790565,1.4,437,0,1.5,181,3630.30397499877
2016,hybrid,truck,30.83,10.5,667,42.19,5,6.59397961602276,1.3,437,0,1.5,131,376.324834688449
2016,phev,car,34.795,7.7,624,40.35,311,4.6,17.1,275.31,7500,7.5,108,10144.8390733433
2016,phev,suv,77.369,6.5,1114,31.74,196,6.6,10.8,275.31,4918.6,7.5,104,1.16092665666149
2017,conv,car,28.555,7.1,538,24.66,5,12.4898621248986,0,437,0,0,116,183627.715155846
2017,conv,suv,33.825,7.2,511,21.33,5,14.4397562119081,0,437,0,0,173,153256.635838915
2017,conv,truck,32.82,7.2,555,17.12,5,17.9906542056075,0,437,0,0,142,33923.0960662946
2017,conv,van,22.95,10.3,480,26.55,5,11.6007532956686,0,437,0,0,286,4480.84434905406
2017,ev,car,58.52,5.8,255,122.764,547,4.6,70,196.65,7500,0,120,17453.803687075
2017,ev,suv,88.75,4.9,272,101.849,703,5.7,90,196.65,7500,0,199,1155.19631292504
2017,hybrid,car,32.825,8.9,805,36.68,5,8.3969465648855,0.5,437,0,1.5,111,12628.2868271939
2017,hybrid,suv,46.395,7.7,953,36.68,5,8.3969465648855,1.4,437,0,1.5,181,3909.22384464096
2017,hybrid,truck,30.83,10.5,667,42.2,5,7.29857819905213,1.3,437,0,1.5,131,417.887709846568
2017,phev,car,34.491,7.7,624,40.39,311,4.6,17.1,275.31,7500,7.5,108,3002.72409650752
2017,phev,suv,35.556,6.8,859,34.51,315,5.9,17.3,275.31,7500,7.5,176,10690.2759034925
2018,conv,car,28.555,7.1,538,24.66,5,14.3998377939984,0,437,0,0,116,169772.203324215
2018,conv,suv,33.825,7.2,511,21.33,5,16.6479137365213,0,437,0,0,173,141867.724540038
2018,conv,truck,32.82,7.2,555,17.12,5,20.7418224299065,0,437,0,0,142,31357.1109908402
2018,conv,van,22.95,10.3,480,26.55,5,13.3747645951036,0,437,0,0,286,3954.32836589403
2018,ev,car,58.52,5.8,255,122.764,547,4.5,70,196.65,7500,0,120,37087.2264079584
2018,ev,suv,88.75,4.9,272,101.849,703,5.6,90,196.65,7500,0,199,2539.77359204157
2018,hybrid,car,32.825,8.9,805,36.68,5,9.68102508178844,0.5,437,0,1.5,111,11185.565654424
